,villeID,size,lat,long
0,Karachi,15738000,24.86,67.01
1,Guangzhou,26940000,23.13,113.26
2,Toronto,5647656,43.7417,-79.3733
3,Tokyo,37732000,35.6897,139.6922
4,Baku,2300500,40.3953,49.8822
5,Delhi,32226000,28.61,77.23
6,Moscow,17332000,55.7558,37.6172
7,Baghdad,6183000,33.3153,44.3661
8,Istanbul,16079000,41.0136,28.955
9,London,11262000,51.5072,-0.1275
10,New York,18908608,40.6943,-73.9249
11,Buenos Aires,16710000,-34.6033,-58.3817
12,Dar es Salaam,7962000,-6.8161,39.2803
13,Tunis,602560,36.8064,10.1817
14,Riyadh,7237000,24.6333,46.7167
15,Jakarta,33756000,-6.175,106.8275
16,São Paulo,23086000,-23.55,-46.6333
17,Dhaka,18627000,23.7639,90.3889
18,Seoul,23016000,37.56,126.99
19,Ho Chi Minh City,15136000,10.7756,106.7019
20,Casablanca,3499000,33.5333,-7.5833
21,Santiago,7171000,-33.4372,-70.6506
22,Manila,24922000,14.5958,120.9772
23,Tehran,14148000,35.6892,51.3889
24,Cairo,20296000,30.0444,31.2358
25,Mexico City,21804000,19.4333,-99.1333
26,Cotonou,679012,6.3667,2.4333
27,Sanaa,2957000,15.3483,44.2064
28,Nassau,274400,25.0781,-77.3386
29,Lima,10320000,-12.06,-77.0375
30,Rome,2748109,41.8933,12.4828
31,Addis Ababa,3041002,9.03,38.74
32,Kinshasa,12836000,-4.3219,15.3119
33,Pyongyang,2863000,39.0167,125.7475
34,Porto,1278210,41.1621,-8.622
35,Abidjan,4980000,5.3167,-4.0333
36,Guatemala City,3014000,14.6133,-90.5353
37,Tashkent,2956384,41.3111,69.2797
38,Algiers,3415811,36.7539,3.0589
39,Bogotá,7968095,4.7111,-74.0722
40,Madrid,6211000,40.4169,-3.7033
41,Kumasi,3490030,6.7,-1.625
42,Melbourne,5031195,-37.8142,144.9631
43,Taichung,3033885,24.1439,120.6794
44,Johannesburg,8500000,-26.2044,28.0456
45,Caracas,2245744,10.4806,-66.9036
46,Damascus,2584771,33.5131,36.2919
47,Warsaw,1860281,52.23,21.0111
48,Brussels,1235192,50.8467,4.3525
49,Berlin,4890363,52.52,13.405
50,Kyiv,2952301,50.45,30.5233
51,Port-au-Prince,987310,18.5333,-72.3333
52,Santa Cruz de la Sierra,3151676,-17.7892,-63.1975
53,Guayaquil,2650288,-2.19,-79.8875
54,Montevideo,1719453,-34.8836,-56.1819
55,Lagos,16637000,6.455,3.3841
56,Paris,11060000,48.8567,2.3522
57,Manzini,110508,-26.4833,31.3667
58,Bangkok,18007000,13.7525,100.4942
59,N’Djamena,1092066,12.11,15.05
60,Zürich,447082,47.3744,8.5411
61,Bamako,4227569,12.6392,-8.0028
62,Monrovia,1021762,6.3133,-10.8014
63,Beirut,2421354,33.8983,35.5057
64,Minsk,1995471,53.9,27.5667
65,Zagreb,767131,45.8131,15.9775
66,Helsinki,1360075,60.1708,24.9375
67,Antananarivo,2300000,-18.91,47.525
68,Havana,2089532,23.1367,-82.3589
69,Budapest,2997958,47.4925,19.0514
70,Rangoon,5209541,16.795,96.16
71,Tilburg,1944588,51.55,5.0833
72,Bishkek,1120827,42.8747,74.6122
73,Stockholm,2121000,59.3294,18.0686
74,Athens,3059764,37.9842,23.7281
75,Hong Kong,7450000,22.3,114.2
76,Prague,1357326,50.0875,14.4214
77,Ljubljana,284293,46.0514,14.5061
78,Harare,2150000,-17.8292,31.0522
79,Vienna,2223236,48.2083,16.3725
80,Dakar,1438725,14.6928,-17.4467
81,Dushanbe,863400,38.5367,68.78
82,Port Louis,149194,-20.1644,57.5042
83,Amman,4007526,31.9497,35.9328
84,Mogadishu,2610483,2.0392,45.3419
85,Maputo,1133200,-25.9667,32.5833
86,Sofia,1547779,42.7,23.33
87,Port Moresby,700000,-9.4789,147.1494
88,Dublin,1263219,53.35,-6.2603
89,Conakry,1667864,9.5092,-13.7122
90,San Salvador,316090,13.6989,-89.1914
91,Freetown,951000,8.4844,-13.2344
92,Colombo,2323826,6.9344,79.8428
93,Auckland,1346091,-36.8406,174.74
94,Brazzaville,1733263,-4.2694,15.2711
95,Singapore,5983000,1.3,103.8
96,Kuala Lumpur,8911000,3.1478,101.6953
97,Masqaţ,1720000,23.5889,58.4083
98,Ashgabat,1030063,37.9375,58.38
99,Dubai,3331420,25.2631,55.2972
